Наименование,Описание,Цена,Старая цена,Местоположение,Ссылка
"<img src=""https://60.img.avito.st/208x156/10644728460.jpg"">","BMW X5, 2021","3.0 AT (400 л.с.), внедорожник, полный, дизель",от 10 792 000 ₽,11 439 520 ₽ без скидки,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2021_2094872374
"<img src=""https://91.img.avito.st/208x156/10798032791.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 7 321 000 ₽,8 071 000 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2138813470
"<img src=""https://47.img.avito.st/208x156/9868009547.jpg"">","BMW X5, 2014","175 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 650 000 ₽,-,"Краснодарский край, Динской р-н, станица Новотитаровская",https://www.avito.ru/novotitarovskaya/avtomobili/bmw_x5_2014_2031249763
"<img src=""https://81.img.avito.st/208x156/10395748081.jpg"">","BMW X5, 2008","357 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 110 000 ₽,-,"Кировская область, Киров",https://www.avito.ru/kirovskaya_oblast_kirov/avtomobili/bmw_x5_2008_2098560060
"<img src=""https://19.img.avito.st/208x156/10562864219.jpg"">","BMW X5, 2007","187 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",950 000 ₽,-,"Республика Крым, Симферополь",https://www.avito.ru/simferopol/avtomobili/bmw_x5_2007_2009240361
"<img src=""https://85.img.avito.st/208x156/10834480385.jpg"">","BMW X5, 2011","168 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 200 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2011_2129519818
"<img src=""https://10.img.avito.st/208x156/10646196410.jpg"">","BMW X5, 2000","106 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",250 000 ₽,-,Тульская область,https://www.avito.ru/ogarevka/avtomobili/bmw_x5_2000_2086396591
"<img src=""https://10.img.avito.st/208x156/10820852910.jpg"">","BMW X5, 2007","240 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 070 000 ₽,-,"Ставропольский край, Ставрополь",https://www.avito.ru/stavropol/avtomobili/bmw_x5_2007_2094036722
"<img src=""https://38.img.avito.st/208x156/10835710538.jpg"">","BMW X5, 2012","86 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 250 000 ₽,-,"Республика Северная Осетия — Алания, Ардонский р-н, Ардон",https://www.avito.ru/ardon/avtomobili/bmw_x5_2012_2137571811
"<img src=""https://39.img.avito.st/208x156/10836241739.jpg"">","BMW X5, 2017","93 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",3 300 000 ₽,-,"Ставропольский край, Ставрополь",https://www.avito.ru/stavropol/avtomobili/bmw_x5_2017_2134455534
"<img src=""https://57.img.avito.st/208x156/6077146957.jpg"">","BMW X5, 2010","219 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 700 000 ₽,-,"Краснодарский край, Сочи",https://www.avito.ru/sochi/avtomobili/bmw_x5_2010_1794832555
"<img src=""https://24.img.avito.st/208x156/10836109924.jpg"">","BMW X5, 2007","300 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 370 000 ₽,-,"Ивановская область, Иваново",https://www.avito.ru/ivanovo/avtomobili/bmw_x5_2007_2119253207
"<img src=""https://30.img.avito.st/208x156/10417633830.jpg"">","BMW X5, 2017","80 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",3 529 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2017_2107985589
"<img src=""https://48.img.avito.st/208x156/10793991148.jpg"">","BMW X5, 2020","3.0 AT (400 л.с.), внедорожник, полный, дизель",от 8 799 000 ₽,10 019 100 ₽ без скидки,"Краснодарский край, Краснодар",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2020_2076731911
"<img src=""https://55.img.avito.st/208x156/10834524855.jpg"">","BMW X5, 2008","223 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",900 000 ₽,-,"Челябинская область, Челябинск",https://www.avito.ru/chelyabinsk/avtomobili/bmw_x5_2008_2137496433
"<img src=""https://64.img.avito.st/208x156/10502212664.jpg"">","BMW X5, 2010","120 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",1 630 000 ₽,-,"Орловская область, Орёл",https://www.avito.ru/orel/avtomobili/bmw_x5_2010_2084496033
"<img src=""https://88.img.avito.st/208x156/10753691788.jpg"">","BMW X5, 2021","3.0 AT (340 л.с.), внедорожник, полный, бензин",от 7 907 600 ₽,8 672 600 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2111402097
"<img src=""https://44.img.avito.st/208x156/10655552944.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 7 321 000 ₽,8 071 000 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2106741287
"<img src=""https://19.img.avito.st/208x156/10808496819.jpg"">","BMW X5, 2001","268 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",425 000 ₽,-,"Тверская область, Тверь",https://www.avito.ru/tver/avtomobili/bmw_x5_2001_2121221432
"<img src=""https://61.img.avito.st/208x156/9655339461.jpg"">","BMW X5, 2020","3.0 AT (340 л.с.), внедорожник, полный, дизель",7 580 000 ₽,-,"Пензенская область, Пенза",https://www.avito.ru/penza/avtomobili/bmw_x5_2020_2024908909
"<img src=""https://22.img.avito.st/208x156/9517926522.jpg"">","BMW X5, 2005","286 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",580 000 ₽,-,"Брянская область, Клинцы",https://www.avito.ru/klintsy/avtomobili/bmw_x5_2005_1998440146
"<img src=""https://77.img.avito.st/208x156/10610000377.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",8 745 500 ₽,-,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2021_2084023784
"<img src=""https://87.img.avito.st/208x156/10696936387.jpg"">","BMW X5, 2021","3.0 AT (400 л.с.), внедорожник, полный, дизель",от 10 188 900 ₽,10 800 234 ₽ без скидки,"Москва, Новомосковский административный округ",https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2074743604
"<img src=""https://88.img.avito.st/208x156/10797910688.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 7 321 000 ₽,8 071 000 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2138297973
"<img src=""https://69.img.avito.st/208x156/10819998469.jpg"">","BMW X5, 2017","134 256 км, 3.0 AT (313 л.с.), внедорожник, полный, дизель",3 700 000 ₽,-,"Московская область, Одинцовский г.о., рабочий пос. Новоивановское",https://www.avito.ru/novoivanovskoe/avtomobili/bmw_x5_2017_2106513052
"<img src=""https://42.img.avito.st/208x156/10824839842.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",8 190 000 ₽,-,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2021_2116670449
"<img src=""https://62.img.avito.st/208x156/10559970162.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 7 490 000 ₽,7 901 300 ₽ без скидки,"Республика Адыгея, Тахтамукайский р-н, аул Новая Адыгея",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2021_2098177878
"<img src=""https://41.img.avito.st/208x156/10580495241.jpg"">","BMW X5, 2020","3.0 AT (249 л.с.), внедорожник, полный, дизель",8 175 300 ₽,-,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2020_2052249975
"<img src=""https://95.img.avito.st/208x156/10278497795.jpg"">","BMW X5, 2011","220 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 150 000 ₽,-,"Челябинская область, Челябинск",https://www.avito.ru/chelyabinsk/avtomobili/bmw_x5_2011_2065669615
"<img src=""https://42.img.avito.st/208x156/10752480442.jpg"">","BMW X5, 2016","78 249 км, 3.0 AT (313 л.с.), внедорожник, полный, дизель",3 417 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2016_2139293478
"<img src=""https://72.img.avito.st/208x156/10684041272.jpg"">","BMW X5, 2015","53 950 км, 3.0 AT (313 л.с.), внедорожник, полный, дизель",3 690 000 ₽,-,"Ставропольский край, Минераловодский г.о., Минеральные Воды",https://www.avito.ru/mineralnye_vody/avtomobili/bmw_x5_2015_2130771294
"<img src=""https://65.img.avito.st/208x156/10657277365.jpg"">","BMW X5, 2021","3.0 AT (340 л.с.), внедорожник, полный, бензин",от 6 540 000 ₽,6 670 000 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2108491150
"<img src=""https://86.img.avito.st/208x156/10770624286.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 9 361 900 ₽,10 061 900 ₽ без скидки,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2021_2116159279
"<img src=""https://50.img.avito.st/208x156/10536943650.jpg"">","BMW X5, 2020","3.0 AT (400 л.с.), внедорожник, полный, дизель",от 10 431 300 ₽,11 057 178 ₽ без скидки,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2020_2062439624
"<img src=""https://34.img.avito.st/208x156/10600832634.jpg"">","BMW X5, 2008","168 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",920 000 ₽,-,"Кемеровская область, Новокузнецкий г.о., Новокузнецк",https://www.avito.ru/novokuznetsk/avtomobili/bmw_x5_2008_2096937749
"<img src=""https://68.img.avito.st/208x156/10599084768.jpg"">","BMW X5, 2005","260 000 км, 4.4 AT (320 л.с.), внедорожник, полный, бензин",676 999 ₽,-,Севастополь,https://www.avito.ru/sevastopol/avtomobili/bmw_x5_2005_2109823128
"<img src=""https://65.img.avito.st/208x156/10753610665.jpg"">","BMW X5, 2021","3.0 AT (340 л.с.), внедорожник, полный, бензин",от 8 468 200 ₽,9 233 200 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2111467542
"<img src=""https://36.img.avito.st/208x156/10810964936.jpg"">","BMW X5, 2000","440 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",620 000 ₽,-,"Краснодарский край, Новопокровский р-н, станица Новопокровская",https://www.avito.ru/novopokrovskaya/avtomobili/bmw_x5_2000_2117139469
"<img src=""https://24.img.avito.st/208x156/10699405724.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 7 237 300 ₽,7 587 300 ₽ без скидки,"Московская область, Балашиха",https://www.avito.ru/balashiha/avtomobili/bmw_x5_2021_2102710649
"<img src=""https://31.img.avito.st/208x156/10834492831.jpg"">","BMW X5, 2017","85 000 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",3 340 000 ₽,-,"Кабардино-Балкарская Республика, Нальчик",https://www.avito.ru/nalchik/avtomobili/bmw_x5_2017_2110198742
"<img src=""https://66.img.avito.st/208x156/10675806566.jpg"">","BMW X5, 2014","133 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",2 550 000 ₽,-,"Рязанская область, Рязань",https://www.avito.ru/ryazan/avtomobili/bmw_x5_2014_2113234510
"<img src=""https://49.img.avito.st/208x156/10818802649.jpg"">","BMW X5, 2021","4.4 AT (530 л.с.), внедорожник, полный, бензин",от 9 472 800 ₽,10 042 800 ₽ без скидки,"Республика Адыгея, Тахтамукайский р-н, аул Новая Адыгея",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2021_2097969132
"<img src=""https://47.img.avito.st/208x156/10829360147.jpg"">","BMW X5, 2019","47 741 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",5 249 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2019_2124730784
"<img src=""https://05.img.avito.st/208x156/10731052705.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 7 138 600 ₽,7 488 600 ₽ без скидки,"Московская область, Балашиха",https://www.avito.ru/balashiha/avtomobili/bmw_x5_2021_2134728822
"<img src=""https://42.img.avito.st/208x156/10834663842.jpg"">","BMW X5, 2006","190 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",730 000 ₽,-,"Ростовская область, Октябрьский р-н, Персиановское сельское поселение",https://www.avito.ru/novocherkassk/avtomobili/bmw_x5_2006_2118638391
"<img src=""https://17.img.avito.st/208x156/8894022017.jpg"">","BMW X5, 2009","157 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",1 049 000 ₽,-,"Новосибирская область, Новосибирск",https://www.avito.ru/novosibirsk/avtomobili/bmw_x5_2009_1979647585
"<img src=""https://73.img.avito.st/208x156/10832985473.jpg"">","BMW X5, 2005","237 000 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",780 000 ₽,-,"Чувашская Республика, Чебоксары",https://www.avito.ru/cheboksary/avtomobili/bmw_x5_2005_2120953264
